Date : 2021-01-16 21:02:29
Directory : /Users/simonwachtler/digitales-register
Total : 231 files,  14532 codes, 856 comments, 1547 blanks, all 16935 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/simonwachtler/digitales-register/lib/ui/pass_reset.dart                                                                                                    | Dart       |        111 |          0 |          6 |        117 |
| /Users/simonwachtler/digitales-register/lib/ui/profile.dart                                                                                                       | Dart       |         59 |          0 |          4 |         63 |
| /Users/simonwachtler/digitales-register/lib/ui/request_pass_reset.dart                                                                                            | Dart       |         63 |          0 |          5 |         68 |
| /Users/simonwachtler/digitales-register/lib/ui/settings_page_widget.dart                                                                                          | Dart       |        524 |          0 |         15 |        539 |
| /Users/simonwachtler/digitales-register/lib/ui/sidebar.dart                                                                                                       | Dart       |        113 |          1 |          4 |        118 |
| /Users/simonwachtler/digitales-register/lib/ui/sorted_grades_widget.dart                                                                                          | Dart       |        269 |          0 |         21 |        290 |
| /Users/simonwachtler/digitales-register/lib/ui/splash.dart                                                                                                        | Dart       |         34 |          3 |          4 |         41 |
| /Users/simonwachtler/digitales-register/lib/ui/user_profile.dart                                                                                                  | Dart       |         27 |          0 |          3 |         30 |
| /Users/simonwachtler/digitales-register/lib/util.dart                                                                                                             | Dart       |         31 |          0 |          7 |         38 |
| /Users/simonwachtler/digitales-register/lib/wrapper.dart                                                                                                          | Dart       |        319 |          8 |         30 |        357 |
| /Users/simonwachtler/digitales-register/linux/appData/secure_storage/login.json                                                                                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/simonwachtler/digitales-register/linux/appData/secure_storage/{username:St-WacSim-04,server_url:https:vinzentinum.digitalesregister.itv2apiauthlogin}.json | JSON       |          1 |          0 |          0 |          1 |
| /Users/simonwachtler/digitales-register/linux/flutter/generated_plugin_registrant.cc                                                                              | C++        |         11 |          3 |          4 |         18 |
| /Users/simonwachtler/digitales-register/linux/flutter/generated_plugin_registrant.h                                                                               | C++        |          5 |          4 |          5 |         14 |
| /Users/simonwachtler/digitales-register/linux/main.cc                                                                                                             | C++        |          5 |          0 |          2 |          7 |
| /Users/simonwachtler/digitales-register/linux/my_application.cc                                                                                                   | C++        |         74 |         11 |         20 |        105 |
| /Users/simonwachtler/digitales-register/linux/my_application.h                                                                                                    | C++        |          7 |          7 |          5 |         19 |
| /Users/simonwachtler/digitales-register/local.properties                                                                                                          | Properties |          1 |          7 |          1 |          9 |
| /Users/simonwachtler/digitales-register/macos/Flutter/GeneratedPluginRegistrant.swift                                                                             | Swift      |         14 |          3 |          4 |         21 |
| /Users/simonwachtler/digitales-register/macos/Flutter/ephemeral/.symlinks/plugins/biometric_storage/.idea/codeStyles/Project.xml                                  | XML        |        116 |          0 |          0 |        116 |
| /Users/simonwachtler/digitales-register/macos/Flutter/ephemeral/.symlinks/plugins/biometric_storage/.idea/codeStyles/codeStyleConfig.xml                          | XML        |          5 |          0 |          0 |          5 |
| /Users/simonwachtler/digitales-register/macos/Flutter/ephemeral/.symlinks/plugins/biometric_storage/.idea/runConfigurations/example_lib_main_dart.xml             | XML        |          6 |          0 |          0 |          6 |
| /Users/simonwachtler/digitales-register/macos/Flutter/ephemeral/.symlinks/plugins/biometric_storage/.idea/vcs.xml                                                 | XML        |          6 |          0 |          0 |          6 |
| /Users/simonwachtler/digitales-register/macos/Runner/AppDelegate.swift                                                                                            | Swift      |          8 |          0 |          2 |         10 |
| /Users/simonwachtler/digitales-register/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                                             | JSON       |         68 |          0 |          1 |         69 |
| /Users/simonwachtler/digitales-register/macos/Runner/Base.lproj/MainMenu.xib                                                                                      | XML        |        339 |          0 |          1 |        340 |
| /Users/simonwachtler/digitales-register/macos/Runner/MainFlutterWindow.swift                                                                                      | Swift      |         12 |          0 |          4 |         16 |
| /Users/simonwachtler/digitales-register/packages/biometric_storage/android/local.properties                                                                       | Properties |          2 |          0 |          0 |          2 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/CHANGELOG.md                                                                                 | Markdown   |          2 |          0 |          2 |          4 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/README.md                                                                                    | Markdown   |         75 |          0 |         24 |         99 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/README.md                                                                            | Markdown   |         18 |          0 |          8 |         26 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/android/app/build.gradle                                                             | Groovy     |         49 |          3 |         12 |         64 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/android/app/src/debug/AndroidManifest.xml                                            | XML        |          4 |          3 |          1 |          8 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/android/app/src/main/AndroidManifest.xml                                             | XML        |         31 |         16 |          1 |         48 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/android/app/src/main/res/drawable/launch_background.xml                              | XML        |          4 |          7 |          2 |         13 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/android/app/src/main/res/values/styles.xml                                           | XML        |          9 |          9 |          1 |         19 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/android/app/src/profile/AndroidManifest.xml                                          | XML        |          4 |          3 |          1 |          8 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/android/build.gradle                                                                 | Groovy     |         27 |          0 |          5 |         32 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/android/gradle.properties                                                            | Properties |          4 |          0 |          1 |          5 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/android/gradle/wrapper/gradle-wrapper.properties                                     | Properties |          5 |          1 |          1 |          7 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/android/settings.gradle                                                              | Groovy     |          8 |          0 |          4 |         12 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/ios/Runner/AppDelegate.swift                                                         | Swift      |         12 |          0 |          2 |         14 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                          | JSON       |        122 |          0 |          1 |        123 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                        | JSON       |         23 |          0 |          1 |         24 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                            | Markdown   |          3 |          0 |          2 |          5 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/ios/Runner/Base.lproj/LaunchScreen.storyboard                                        | XML        |         36 |          1 |          1 |         38 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/ios/Runner/Base.lproj/Main.storyboard                                                | XML        |         25 |          1 |          1 |         27 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/ios/Runner/Runner-Bridging-Header.h                                                  | C++        |          1 |          0 |          1 |          2 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/lib/main.dart                                                                        | Dart       |        133 |          0 |         11 |        144 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/pubspec.yaml                                                                         | YAML       |         17 |         47 |         15 |         79 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/web/index.html                                                                       | HTML       |         25 |          5 |          4 |         34 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/example/web/manifest.json                                                                    | JSON       |         23 |          0 |          1 |         24 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/lib/collapsible_sidebar.dart                                                                 | Dart       |        296 |          0 |         31 |        327 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/lib/collapsible_sidebar/collapsible_avatar.dart                                              | Dart       |         32 |          0 |          6 |         38 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/lib/collapsible_sidebar/collapsible_container.dart                                           | Dart       |         29 |          0 |          4 |         33 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/lib/collapsible_sidebar/collapsible_item.dart                                                | Dart       |         17 |          0 |          3 |         20 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/lib/collapsible_sidebar/collapsible_item_widget.dart                                         | Dart       |         98 |          0 |          4 |        102 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/lib/collapsible_sidebar/unconstrained_overflow_widget.dart                                   | Dart       |        158 |         90 |         23 |        271 |
| /Users/simonwachtler/digitales-register/packages/collapsible_sidebar/pubspec.yaml                                                                                 | YAML       |         15 |         32 |          6 |         53 |
| /Users/simonwachtler/digitales-register/packages/dynamic_theme/CHANGELOG.md                                                                                       | Markdown   |          5 |          0 |          3 |          8 |
| /Users/simonwachtler/digitales-register/packages/dynamic_theme/README.md                                                                                          | Markdown   |         59 |          0 |         17 |         76 |
| /Users/simonwachtler/digitales-register/packages/dynamic_theme/analysis_options.yaml                                                                              | YAML       |         97 |         71 |          3 |        171 |
| /Users/simonwachtler/digitales-register/packages/dynamic_theme/lib/dynamic_theme.dart                                                                             | Dart       |        142 |         37 |         36 |        215 |
| /Users/simonwachtler/digitales-register/packages/dynamic_theme/lib/theme_switcher_widgets.dart                                                                    | Dart       |         30 |          0 |          4 |         34 |
| /Users/simonwachtler/digitales-register/packages/dynamic_theme/pubspec.yaml                                                                                       | YAML       |         15 |         33 |          6 |         54 |
| /Users/simonwachtler/digitales-register/packages/quill_delta_viewer/lib/quill_delta_viewer.dart                                                                   | Dart       |          2 |          0 |          2 |          4 |
| /Users/simonwachtler/digitales-register/packages/quill_delta_viewer/lib/src/viewer.dart                                                                           | Dart       |        174 |          6 |         16 |        196 |
| /Users/simonwachtler/digitales-register/packages/quill_delta_viewer/pubspec.yaml                                                                                  | YAML       |         16 |         32 |          8 |         56 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/CHANGELOG.md                                                                                 | Markdown   |          2 |          0 |          2 |          4 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/README.md                                                                                    | Markdown   |         10 |          0 |          5 |         15 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/README.md                                                                            | Markdown   |         10 |          0 |          7 |         17 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/app/build.gradle                                                             | Groovy     |         46 |          3 |         11 |         60 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/app/src/debug/AndroidManifest.xml                                            | XML        |          4 |          3 |          1 |          8 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/app/src/main/AndroidManifest.xml                                             | XML        |         30 |         11 |          1 |         42 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/app/src/main/res/drawable-v21/launch_background.xml                          | XML        |          4 |          7 |          2 |         13 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/app/src/main/res/drawable/launch_background.xml                              | XML        |          4 |          7 |          2 |         13 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/app/src/main/res/values-night/styles.xml                                     | XML        |          9 |          9 |          1 |         19 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/app/src/main/res/values/styles.xml                                           | XML        |          9 |          9 |          1 |         19 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/app/src/profile/AndroidManifest.xml                                          | XML        |          4 |          3 |          1 |          8 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/build.gradle                                                                 | Groovy     |         27 |          0 |          5 |         32 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/gradle.properties                                                            | Properties |          3 |          0 |          1 |          4 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/gradle/wrapper/gradle-wrapper.properties                                     | Properties |          5 |          1 |          1 |          7 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/android/settings.gradle                                                              | Groovy     |          8 |          0 |          4 |         12 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/ios/Runner/AppDelegate.swift                                                         | Swift      |         12 |          0 |          2 |         14 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                          | JSON       |        122 |          0 |          1 |        123 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                        | JSON       |         23 |          0 |          1 |         24 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                            | Markdown   |          3 |          0 |          2 |          5 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/ios/Runner/Base.lproj/LaunchScreen.storyboard                                        | XML        |         36 |          1 |          1 |         38 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/ios/Runner/Base.lproj/Main.storyboard                                                | XML        |         25 |          1 |          1 |         27 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/ios/Runner/Runner-Bridging-Header.h                                                  | C++        |          1 |          0 |          1 |          2 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/lib/main.dart                                                                        | Dart       |         78 |          5 |          4 |         87 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/linux/flutter/generated_plugin_registrant.cc                                         | C++        |          3 |          3 |          4 |         10 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/linux/flutter/generated_plugin_registrant.h                                          | C++        |          5 |          4 |          5 |         14 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/linux/main.cc                                                                        | C++        |          5 |          0 |          2 |          7 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/linux/my_application.cc                                                              | C++        |         74 |         11 |         20 |        105 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/linux/my_application.h                                                               | C++        |          7 |          7 |          5 |         19 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/example/pubspec.yaml                                                                         | YAML       |         18 |         45 |         13 |         76 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/lib/responsive_scaffold.dart                                                                 | Dart       |        314 |         46 |         42 |        402 |
| /Users/simonwachtler/digitales-register/packages/responsive_scaffold/pubspec.yaml                                                                                 | YAML       |         16 |         32 |          8 |         56 |
| /Users/simonwachtler/digitales-register/pubspec.yaml                                                                                                              | YAML       |         77 |         37 |          8 |        122 |
| /Users/simonwachtler/digitales-register/snap/snapcraft.yaml                                                                                                       | YAML       |         22 |          0 |          3 |         25 |
| /Users/simonwachtler/digitales-register/test/calendar_test.dart                                                                                                   | Dart       |          9 |          0 |          2 |         11 |
| /Users/simonwachtler/digitales-register/test/new_changed_test.dart                                                                                                | Dart       |        109 |          0 |          2 |        111 |
| /Users/simonwachtler/digitales-register/test/parse_webpage_test.dart                                                                                              | Dart       |        181 |          0 |         33 |        214 |
| /Users/simonwachtler/digitales-register/test/save_state_test.dart                                                                                                 | Dart       |        187 |          7 |         29 |        223 |
| /Users/simonwachtler/digitales-register/web/index.html                                                                                                            | HTML       |         26 |         15 |          5 |         46 |
| /Users/simonwachtler/digitales-register/web/manifest.json                                                                                                         | JSON       |         23 |          0 |          1 |         24 |
| Total                                                                                                                                              |            |     14,532 |        856 |      1,547 |     16,935 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
